"ITEM","DESCRIPTION","BUSINESS_UNIT","FINANCIAL_BU","STOCK PRIORITY","Sourcing Apr.26","Sourcing May.26","Cambios","Sourcing Jun.26","Cambio"
"40091","BA2MB","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21777","BA13PMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17201","BA13S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21362","BA13SMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21224","BA13SMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17209","BA23P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17210","BA23S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17208","BA23SM1.38","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"23396","BA23SM600","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20233","BA24P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17215","BA24S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"23427","BA25P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17216","BA25S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20064","BA26P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17218","BA26S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24289","BA28SM600","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20984","BA210P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20761","BA210S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17220","BAM.752S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17397","BAM.753S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24371","BAMM.441SMSF","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21651","BAR.753PMRA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73128","BAR.753SMETAMRA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21087","BAR.753SMRA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21497","BAR.753SMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20715","BAT.753S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21089","BAT2.53S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"59309","BAT2.53SM600","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24865","BAT2.53SM900","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21407","BAT2.56S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"22456","BAT2.511SM600","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20860","BAT13P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20021","BAT13S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20416","BAT15S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24971","BAT16.6ST5MTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"97603","BAT16.6ST5TAMT","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20868","BAT16P","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21490","BAT16S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
