"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"808746","Q20NFF50IR","MFG","408.G.58","1",
"14382","FLTR-660","MFG","408.H.46","2",
"90817","TCNM-EX-0210","MFG","408.K.34","2",
"802824","QS18EK6RQ7","MFG","408.O.16","1",
"812322","S22AMTSRGCT-812322","MFG","408.I.51","3",
"90623","LMBWLB32","MFG","302.A.35","28",
"814139","Q2XABFF15-2M","MFG","302.AB.13","2",
"31613","APERTURE CONE Q85 POL RETRO","MFG","302.D.33","1658",
"28728","QM26VNAF400-5M","MFG","302.AY.80","14",
"76229","K50APFF100GRCQ","MFG","302.AR.72","7",
"91638","Q3XTBLD-Q8","MFG","302.AS.44","117",
"811846","DX80N2Q45VTPD NB","MFG","302.AY.32","14",
"53395","SMB46X3","MFG","306.A.20","11",
"94391","TL70GQ","MFG","306.A.65","18",
"806961","WLS15XWR0500DSC2","MFG","306.AA.31","6",
"16117","PBCT46UMFR","MFG","306.AC.43","19",
"86288","DF-G1-PR-2M","MFG","306.B.26","6",
"87459","SM91RBNQD-87459","MFG","306.B.46","2",
"69474","CA 52549 0030.5 Z NOTE B.25 C0.1 D1.0 E0.125","MFG","306.C.10","2",
"79289","K50APFF50GRYC4QPMA","MFG","306.Z.32","2",
"198239","BRACKET CLAMP SMBFA10MM STAINLESS STEEL FIT FOR 10MM SHCS AND 10MM ROD","MFG","306.S.15","26",
"803863","LCF12LK1F	","MFG","306.U.46","2",
"29611","SE61RL","MFG","306.V.40","1",
"75592","T30UIPAQ-CRFV","MFG","306.X.42","1",
"806794","VSM-2S4AND20-Q3","MFG","306.Y.33","4",
"61658","QS18VN6WQ","MFG","306.Y.35","84",
"11381","LCF05LCMP","MFG","306.K.57","10",
