"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"807892","QS18EK6EVQ7","NFG","91.J.06","5",
"72129","Q12AB6LPQ","NFG","96.J.04","3",
"193232","PCB ASSY TL70 LED 3-COLOR RYB B185138 PA-4","NFG","97.K.06","2",
"11385","LCF50LCMP","NFG","90.L.06","2",
"54617","MQDC2S-815RA","NFG","90.F.06","2",
"96764","K50APT2GRYF2Q","NFG","91.E.02","24",
"77519","MISC-VISION ACCESSORY SUZHOU ONLY","NFG","81.W.01","6940",
"804035","K50APT2GRYF2Q-804035","NFG","87.F.01","38",
"29512","RDM35","NFG","92.A.02","15",
"113228","IC BOOT ATMEGA8-4-I-M CS:10FAA DM: AS3","NFG","NFG.00.00","3000",
"805688","QS18VP6CV20","NFG","93.F.03","9",
"75036","SLM220B6QPMA","NFG","93.G.06","1",
"72513","MAQDC-8100","NFG","57.D.02","32",
"817193","WLB32VCW1140Q","NFG","58.A.02","4",
"817952","WLS15XGR1200LS24QPBSZ","NFG","58.C.02","10",
"89935","SLLCP40-1400","NFG","59.B.01","2",
"810693","SLLVP23-1820-CNCA01","NFG","59.B.02","2",
"87484","WLB32C1130PBQ","NFG","59.C.02","14",
"59161","VS25EVQ","NFG","77.G.06","6",
"813002","T30UXIA-CNXL01","NFG","94.A.01","19",
"93531","T30UXIAQ8-93531","NFG","94.E.03","7",
"78644","K50LXXYPQ","NFG","94.F.06","1",
"76544","DS18VP6FF100","NFG","94.G.06","10",
"73239","QS18VN6LLPQ7","NFG","94.H.05","9",
"74234","QS18UNAE W/30","NFG","95.C.02","2",
"802875","Q4XTULAF500-Q8","NFG","95.C.05","18",
"86568","S18-2VNRS-Q8","NFG","105.C.07","3",
"230110","CAP END/STRIAN RELIEF PSA","NFG","101.C.04","10",
"7700657","EOIR20m-BT18-6X-H1141","NFG","105.H.04","14",
"85772","DQ126E","NFG","105.J.05","90",
"85068","SC26-2DE","NFG","76.B.02","3",
"55295","VS1AP5C10","NFG","76.D.03","1",
"14139","BLC-12I8OR-HA","NFG","76.E.04","1",
"815666","DES4-M81-F51-D","NFG","76.F.02","1",
"91290","Q4XTBLAF100-Q8","NFG","96.B.02","67",
"11162","SB12TRPRQ3","NFG","96.H.03","1",
"812181","VEMH-CNCP02","NFG","89.L.04","2",
"806619","QCM50-K3D25-Q8-5","NFG","90.H.06","20",
"801880","SSA-EB3PL1-01","NFG","57.Q.04","700",
"247872","PLASTIC MATERIAL RAW PC COVESTRO MAKROLON 2407 COLORANT OFF WHITE AVIENT NC02415387-ZN","NFG","109.A.09","86.1856",
"69693","8-LM2T-C01","NFG","111.K.02","83",
"809067","SLLCE23-1190-S","NFG","111.A.05","5",
"809181","SLLE23-1820-S","NFG","111.A.07","1",
"140133","SLPE25-410P8 EZS LP E SUB ASSY 25mm X 410mm NO PKG","NFG","112.F.04","7",
"117504","WINDOW 80CH MA 2-ST SUB ASSY (62.055)","NFG","112.H.06","5",
"197234","SLPVAE14-270P8-801806 EZS LP E SUB ASSY 14mm X 270mm NO PKG","NFG","112.J.05","11",
"02685","LX12EQ","NFG","112.J.07","1",
"27388","SM30CC-312","NFG","90.J.04","14",
"28755","MQ3X-1215-PC FOR LT30","NFG","91.J.06","1",
"61655","QS18VP6DQ","NFG","97.K.03","30",
"92556","M18-3VNRS-Q8","NFG","93.J.03","3",
"44994","BRT-48X32","NFG","88.B.02","90",
"90442","LPZP1A5","NFG","88.D.04","4",
"92336","TL70GYRQ","NFG","88.E.06","4",
"71931","STP-15","NFG","89.B.06","4",
"25620","SM312F","NFG","89.B.06","40",
"807542","LPM302-393NIX485R3Q","NFG","89.D.06","3",
"48662","M18SP6D","NFG","93.A.03","1",
"92509","DF-G2IR-PS-2M","NFG","92.B.04","26",
"814811","CNXCFF450-CNBN01","NFG","93.F.04","2",
"805186","QS18VP6AF120 W/30","NFG","92.G.01","227",
"60088","SI-LS42DMSH","NFG","92.G.02","3",
"87591","DF-G3-NU-2M","NFG","95.G.03","59",
"813300","MQDEC2-506RA BSZ","NFG","57.J.02","1325",
"49370","LIT 75/90mm SAF SWTCH FLT PCK","NFG","57.M.03","179",
"817894","MQDC2S-830 BSZ","NFG","57.M.04","192",
"37442","QDC-515C","NFG","58.G.02","30",
"64505","MBCC-460","NFG","58.G.03","36",
"75291","MQEAC-406","NFG","59.C.04","2640",
"44862","Q10AP6DQ","NFG","77.C.04","6",
